                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     16,                 1.1225,                 2.3309,                 1.5225,                 0.9343,                0.37362,                0.66008,                0.50089,                 1.4942,                 1.8516,                 1.3461,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                0.82204,                 1.5072,                 1.1557,                0.93379,                0.37365,                   0.66,                0.50671,                 1.4963,                 1.8719,                 1.3505,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                  1.094,                 1.4634,                 1.3349,                0.93379,                0.37365,                   0.66,                0.50671,                 1.4963,                 1.8719,                 1.3505,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                 1.0463,                 1.6832,                 1.2491,                0.93736,                0.37387,                0.66422,                0.49153,                 1.5186,                  1.947,                 1.3537,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                 1.0254,                 1.3832,                 1.3291,                0.93736,                0.37387,                0.66422,                0.49153,                 1.5186,                  1.947,                 1.3537,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                 1.3233,                 2.5268,                 1.6911,                0.93288,                0.37376,                0.61896,                0.46865,                 1.5537,                 2.0187,                 1.3681,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                 1.1237,                 2.0789,                 1.5413,                0.93288,                0.37376,                0.61896,                0.46865,                 1.5537,                 2.0187,                 1.3681,             1.9795e-05,             1.9795e-05,             1.9795e-05
                     23,                0.89348,                 1.9432,                 1.3812,                0.92842,                0.37342,                0.62151,                0.46295,                 1.5666,                 2.0814,                 1.3842,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     24,                 1.2159,                 2.2702,                 1.6499,                0.92842,                0.37342,                0.62151,                0.46295,                 1.5666,                 2.0814,                 1.3842,             2.1138e-05,             2.1138e-05,             2.1138e-05
                     25,                0.98725,                 1.6221,                 1.3572,                0.92885,                0.37357,                0.58786,                0.44113,                 1.5961,                  2.161,                 1.4085,             2.1774e-05,             2.1774e-05,             2.1774e-05
                     26,                0.87804,                 1.7305,                 1.3047,                0.92885,                0.37357,                0.58786,                0.44113,                 1.5961,                  2.161,                 1.4085,             2.2387e-05,             2.2387e-05,             2.2387e-05
                     27,                 0.8759,                 1.5657,                 1.3651,                0.94292,                0.39196,                0.58546,                0.44261,                 1.6313,                 2.2065,                 1.4432,             2.2976e-05,             2.2976e-05,             2.2976e-05
                     28,                0.85136,                 1.2318,                 1.1733,                0.94292,                0.39196,                0.58546,                0.44261,                 1.6313,                 2.2065,                 1.4432,             2.3542e-05,             2.3542e-05,             2.3542e-05
                     29,                0.93248,                 1.5526,                 1.2459,                0.94241,                0.39161,                0.58341,                0.44493,                 1.6263,                 2.2325,                 1.4454,             2.4084e-05,             2.4084e-05,             2.4084e-05
                     30,                 1.2688,                 2.6825,                 1.5519,                0.94241,                0.39161,                0.58341,                0.44493,                 1.6263,                 2.2325,                 1.4454,             2.4602e-05,             2.4602e-05,             2.4602e-05
                     31,                0.98073,                 1.2851,                 1.2557,                0.94183,                0.39241,                0.58616,                0.44266,                 1.6437,                 2.2456,                 1.4628,             2.5097e-05,             2.5097e-05,             2.5097e-05
                     32,                 0.7247,                 1.3937,                 1.1767,                0.94183,                0.39241,                0.58616,                0.44266,                 1.6437,                 2.2456,                 1.4628,             2.5568e-05,             2.5568e-05,             2.5568e-05
                     33,                0.73321,                 1.1709,                 1.3139,                0.94204,                0.39291,                 0.5036,                0.34364,                 1.6784,                 2.2787,                  1.473,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                0.97486,                 1.0798,                 1.2757,                0.94204,                0.39291,                 0.5036,                0.34364,                 1.6784,                 2.2787,                  1.473,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                0.93461,                 2.2208,                 1.3721,                0.94214,                0.39272,                0.50444,                0.34429,                 1.6944,                 2.3125,                 1.4895,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                 0.7469,                 1.4698,                 1.1566,                0.94214,                0.39272,                0.50444,                0.34429,                 1.6944,                 2.3125,                 1.4895,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                0.81569,                 1.2713,                 1.1918,                0.94198,                0.39389,                0.47494,                0.31915,                 1.7174,                 2.3419,                 1.4907,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                0.41958,                0.91091,                 0.9374,                0.94198,                0.39389,                0.47494,                0.31915,                 1.7174,                 2.3419,                 1.4907,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                0.81656,                 1.0298,                 1.1161,                0.94217,                0.39446,                0.47431,                0.31798,                  1.705,                 2.3188,                 1.4801,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                0.75792,                0.86877,                 1.1039,                0.94217,                0.39446,                0.47431,                0.31798,                  1.705,                 2.3188,                 1.4801,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                0.66934,                0.97337,                 1.0162,                0.94256,                0.39499,                0.47452,                0.31943,                 1.7109,                 2.3308,                 1.4928,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                0.62152,                 1.6599,                 1.0918,                0.94256,                0.39499,                0.47452,                0.31943,                 1.7109,                 2.3308,                 1.4928,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                0.91735,                 1.4577,                 1.2752,                0.94248,                0.39472,                0.46119,                0.30743,                 1.7432,                 2.3319,                 1.5234,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                0.96978,                 0.9659,                 1.3526,                0.94248,                0.39472,                0.46119,                0.30743,                 1.7432,                 2.3319,                 1.5234,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                0.64174,                 0.8085,                 1.0408,                0.94341,                0.39472,                0.46214,                0.30779,                 1.7317,                 2.3095,                 1.5113,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                0.69969,                 1.0393,                 1.1548,                0.94341,                0.39472,                0.46214,                0.30779,                 1.7317,                 2.3095,                 1.5113,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                0.84336,                   1.78,                 1.2715,                0.94358,                0.39604,                0.46478,                0.30858,                 1.7186,                 2.2969,                 1.4944,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                0.96323,                 1.4956,                 1.2846,                0.94358,                0.39604,                0.46478,                0.30858,                 1.7186,                 2.2969,                 1.4944,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                0.74775,                0.95506,                 1.2518,                0.94433,                 0.3973,                0.48489,                0.32175,                 1.7255,                 2.2837,                 1.5082,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                0.77201,                0.93556,                 1.2878,                0.94433,                 0.3973,                0.48489,                0.32175,                 1.7255,                 2.2837,                 1.5082,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                0.82859,                0.93423,                  1.175,                 0.9448,                0.39816,                0.46571,                0.30877,                 1.7135,                 2.2797,                 1.4934,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                0.86376,                0.89862,                 1.2837,                 0.9448,                0.39816,                0.46571,                0.30877,                 1.7135,                 2.2797,                 1.4934,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                0.75951,                0.68018,                  1.276,                 0.9448,                0.39816,                0.46571,                0.30877,                 1.7135,                 2.2797,                 1.4934,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                0.78452,                0.88414,                  1.264,                0.94127,                    0.4,                0.47298,                0.35935,                 1.7281,                 2.2989,                 1.5117,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                0.63776,                  0.887,                 1.0569,                0.94127,                    0.4,                0.47298,                0.35935,                 1.7281,                 2.2989,                 1.5117,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                 1.3965,                 1.7842,                 1.7076,                0.94127,                    0.4,                0.47298,                0.35935,                 1.7281,                 2.2989,                 1.5117,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                 0.8425,                 1.7245,                 1.2732,                0.94451,                0.39915,                0.47348,                0.36013,                 1.7279,                 2.2719,                 1.5021,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                0.89342,                  1.359,                 1.3059,                0.94451,                0.39915,                0.47348,                0.36013,                 1.7279,                 2.2719,                 1.5021,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                0.76516,                0.75404,                 1.1734,                0.94451,                0.39915,                0.47348,                0.36013,                 1.7279,                 2.2719,                 1.5021,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                 1.0337,                0.86586,                 1.5665,                0.94248,                0.39885,                0.47311,                0.35906,                 1.7639,                   2.33,                 1.5474,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                0.68851,                 0.7813,                 1.1407,                0.94248,                0.39885,                0.47311,                0.35906,                 1.7639,                   2.33,                 1.5474,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                0.70635,                 1.0171,                 1.0677,                0.94248,                0.39885,                0.47311,                0.35906,                 1.7639,                   2.33,                 1.5474,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                0.82023,                0.91282,                 1.1817,                0.94086,                    0.4,                0.46528,                0.35136,                 1.7638,                 2.3161,                 1.5415,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                0.70725,                0.73705,                 1.1258,                0.94086,                    0.4,                0.46528,                0.35136,                 1.7638,                 2.3161,                 1.5415,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                0.60606,                 0.9442,                 1.2093,                0.94086,                    0.4,                0.46528,                0.35136,                 1.7638,                 2.3161,                 1.5415,             2.7905e-05,             2.7905e-05,             2.7905e-05
                     66,                0.77288,                 1.2464,                 1.1215,                0.93872,                    0.4,                0.46115,                0.34401,                 1.7577,                 2.2931,                 1.5227,             2.7575e-05,             2.7575e-05,             2.7575e-05
                     67,                0.74906,                 1.0537,                 1.1027,                0.93872,                    0.4,                0.46115,                0.34401,                 1.7577,                 2.2931,                 1.5227,             2.7222e-05,             2.7222e-05,             2.7222e-05
                     68,                 1.0774,                  1.984,                 1.4706,                0.93872,                    0.4,                0.46115,                0.34401,                 1.7577,                 2.2931,                 1.5227,             2.6845e-05,             2.6845e-05,             2.6845e-05
                     69,                0.60931,                 1.1193,                 1.1215,                 0.9363,                    0.4,                0.42967,                0.31791,                 1.7453,                 2.2584,                  1.511,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                0.93501,                 1.0379,                 1.4102,                 0.9363,                    0.4,                0.42967,                0.31791,                 1.7453,                 2.2584,                  1.511,             2.6021e-05,             2.6021e-05,             2.6021e-05
