                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4116,                  2.815,                 1.7548,                0.61343,                0.88257,                 0.8879,                 0.6156,                 1.3926,                 1.3292,                 1.2503,                      0,                      0,                      0
                      2,                 1.2487,                 2.6208,                 1.4408,                0.59672,                0.89736,                0.88811,                0.61799,                 1.4046,                 1.3533,                 1.2565,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 1.1416,                 4.2177,                 1.4952,                0.57906,                0.83333,                0.87397,                0.61303,                 1.4193,                 1.3854,                 1.2631,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                  1.266,                 2.6681,                 1.4492,                0.54577,                0.85518,                0.87205,                0.60506,                 1.4537,                 1.4202,                 1.2788,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 1.3365,                 2.8559,                 1.6306,                0.56995,                0.83333,                0.87216,                0.59728,                 1.4799,                  1.454,                 1.2952,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                 1.5472,                 4.2926,                 1.9011,                 0.8526,                0.57176,                0.87377,                0.58415,                 1.4865,                 1.5078,                 1.3071,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 1.2447,                 2.1012,                 1.5014,                0.85088,                0.57315,                0.87391,                0.57003,                  1.506,                 1.5539,                 1.3179,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 1.5602,                 3.3135,                 1.8479,                0.84471,                0.57592,                 0.8879,                0.54937,                 1.5169,                 1.6219,                 1.3379,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                 1.1232,                 2.5172,                 1.4494,                0.83802,                0.57809,                0.80395,                0.54111,                 1.5356,                 1.6777,                 1.3507,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 1.0563,                 3.2359,                 1.5067,                0.82378,                0.58318,                0.74863,                0.53695,                 1.5511,                 1.7357,                 1.3668,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 1.1797,                 2.9853,                 1.4195,                0.81029,                0.58333,                0.74928,                0.53693,                 1.5622,                 1.7632,                 1.3742,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                 1.0326,                 1.7965,                 1.4087,                0.77962,                0.58333,                 0.7491,                  0.537,                 1.5573,                 1.7743,                 1.3734,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                0.94683,                  2.504,                 1.2305,                0.74424,                0.58333,                0.74905,                0.53702,                  1.545,                 1.7846,                 1.3695,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                 1.2851,                 2.1112,                 1.7306,                0.77842,                0.58333,                0.74619,                 0.5366,                 1.5203,                 1.8311,                 1.3528,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                0.95634,                 1.8205,                 1.2024,                0.93957,                0.37363,                0.74307,                 0.5423,                 1.5095,                  1.857,                   1.35,             1.4351e-05,             1.4351e-05,             1.4351e-05
